sample_id,label,is_adversarial,volume_spike_ratio,price_impact_pct,order_cancel_rate,self_trade_ratio,timing_pattern_score,detection_confidence,detection_gate_passed,recommended_action
ADV-000000,spoofing,True,2.44638,5.106318,0.781018,0.026939,0.230193,0.907517,True,block
ADV-000001,normal,False,0.328683,1.345951,0.396068,0.028891,0.097899,0.08189,False,allow
ADV-000002,normal,False,0.485224,0.674296,0.239905,0.015129,0.189018,0.244953,False,allow
ADV-000003,layering,True,1.140087,1.902311,0.924417,0.020654,0.075087,0.729595,True,block
ADV-000004,normal,False,0.188094,0.992447,0.22134,0.02974,0.006833,0.243419,False,allow
ADV-000005,layering,True,2.309164,8.884778,0.51677,0.027445,0.208554,0.967836,True,block
ADV-000006,normal,False,0.439447,0.179404,0.358408,0.022156,0.183673,0.208018,False,allow
ADV-000007,normal,False,0.157181,1.661931,0.281549,0.021453,0.28724,0.143938,False,allow
ADV-000008,normal,False,0.179952,1.838526,0.11289,0.03237,0.083997,0.244856,False,allow
ADV-000009,spoofing,True,0.052808,0.211457,0.951945,0.042351,0.141437,0.795292,True,block
ADV-000010,normal,False,0.12219,1.449938,0.153994,0.028858,0.105326,0.075813,False,allow
ADV-000011,normal,False,0.092526,1.777086,0.185602,0.010345,0.238689,0.258835,False,allow
ADV-000012,normal,False,0.167877,0.364076,0.276493,0.007614,0.28289,0.293079,False,allow
ADV-000013,normal,False,0.094852,0.216209,0.196949,0.018591,0.06842,0.047226,False,allow
ADV-000014,wash_trading,True,1.605078,6.661924,0.110128,0.669615,0.162357,0.676975,True,block
ADV-000015,wash_trading,True,2.744194,2.601061,0.115239,0.893768,0.037813,0.700229,True,block
ADV-000016,normal,False,0.337996,1.098573,0.156703,0.028284,0.17432,0.088634,False,allow
ADV-000017,normal,False,0.285592,0.84207,0.119937,0.045036,0.02094,0.256495,False,allow
ADV-000018,spoofing,True,2.565468,0.388248,0.509332,0.028236,0.013421,0.618943,True,block
ADV-000019,pump_dump,True,0.895416,3.599831,0.239071,0.033323,0.130057,0.793988,True,block
ADV-000020,wash_trading,True,1.514943,2.126866,0.258235,0.485772,0.201282,0.727493,True,block
ADV-000021,normal,False,0.130537,1.584436,0.209294,0.039334,0.162071,0.266522,False,allow
ADV-000022,normal,False,0.036963,0.908908,0.316214,0.002063,0.12872,0.187758,False,allow
ADV-000023,normal,False,0.20263,1.642583,0.122907,0.003339,0.209695,0.231563,False,allow
ADV-000024,wash_trading,True,0.756633,7.945848,0.169665,0.321524,0.00749,0.912011,True,block
ADV-000025,normal,False,0.392762,1.200911,0.312671,0.005926,0.078797,0.235109,False,allow
ADV-000026,normal,False,0.1095,1.083259,0.138418,0.043054,0.046379,0.192284,False,allow
ADV-000027,normal,False,0.286989,1.117545,0.101762,0.006818,0.226732,0.043781,False,allow
ADV-000028,pump_dump,True,1.929365,3.236288,0.32556,0.035266,0.138124,0.625028,True,block
ADV-000029,wash_trading,True,1.695173,1.29715,0.215805,0.625088,0.251757,0.662236,True,block
ADV-000030,layering,True,1.764191,8.004658,0.609577,0.033651,0.235641,0.83102,True,block
ADV-000031,pump_dump,True,0.304053,5.037758,0.385595,0.040973,0.129097,0.960296,True,block
ADV-000032,normal,False,0.375979,0.082846,0.278724,0.015918,0.008615,0.150064,False,allow
ADV-000033,front_running,True,1.242892,9.014953,0.140504,0.001955,0.795127,0.947054,True,block
ADV-000034,layering,True,2.806507,6.783781,0.621746,0.016778,0.23225,0.921106,True,block
ADV-000035,pump_dump,True,0.012904,0.870299,0.385923,0.01005,0.079965,0.661162,True,block
ADV-000036,layering,True,1.494519,2.99811,0.561495,0.024978,0.046832,0.6656,True,block
ADV-000037,normal,False,0.090222,1.921701,0.149907,0.009653,0.150564,0.29509,False,allow
ADV-000038,wash_trading,True,2.377618,9.36865,0.107779,0.317689,0.180194,0.827988,True,block
ADV-000039,normal,False,0.190435,1.633945,0.306982,0.032403,0.20968,0.144112,False,allow
ADV-000040,normal,False,0.453449,1.898141,0.349142,0.043939,0.043513,0.056005,False,allow
ADV-000041,normal,False,0.318254,0.950592,0.340869,0.027724,0.248431,0.170804,False,allow
ADV-000042,normal,False,0.269264,1.296284,0.141632,0.012802,0.150643,0.012482,False,allow
ADV-000043,normal,False,0.120792,0.695081,0.257835,0.01174,0.222704,0.201395,False,allow
ADV-000044,normal,False,0.080294,1.908906,0.224483,0.046993,0.083404,0.055929,False,allow
ADV-000045,normal,False,0.208636,0.813006,0.265038,0.016246,0.137984,0.229678,False,allow
ADV-000046,front_running,True,2.280285,5.79796,0.315597,0.045216,0.820379,0.92693,True,block
