cycle_id,timestamp_beat,timestamp_ms,obligations_count,unique_parties,assets_traded,gross_total,net_total,netting_efficiency_pct,cumulative_gross,cumulative_net,phi_alignment
NET-000001,8,6984,86,49,7,26628.437247,22483.725631,15.565,26628.437247,22483.725631,0.462384
NET-000002,16,13968,43,40,7,13525.316802,12380.1854,8.4666,40153.754049,34863.911031,0.533368
NET-000003,24,20952,89,49,7,26270.361376,21878.526937,16.7178,66424.115425,56742.437968,0.450856
NET-000004,32,27936,72,47,7,22257.550096,19739.550258,11.313,88681.665521,76481.988226,0.504904
NET-000005,40,34920,24,29,6,9079.574734,8358.991467,7.9363,97761.240255,84840.979693,0.538671
NET-000006,48,41904,11,19,6,3503.848892,3503.848892,0.0,101265.089147,88344.828585,0.618034
NET-000007,56,48888,66,44,7,22075.83439,20048.399927,9.184,123340.923537,108393.228512,0.526194
NET-000008,64,55872,44,43,7,13122.08904,11740.028284,10.5323,136463.012577,120133.256796,0.512711
NET-000009,72,62856,64,45,7,20209.615485,17809.897118,11.8741,156672.628062,137943.153914,0.499293
NET-000010,80,69840,85,48,7,27724.661493,23204.598527,16.3034,184397.289555,161147.752441,0.455
NET-000011,88,76824,77,50,7,23790.766918,19989.252928,15.9789,208188.056473,181137.005369,0.458245
NET-000012,96,83808,65,49,7,21616.759512,18502.483715,14.4068,229804.815985,199639.489084,0.473966
NET-000013,104,90792,38,38,7,13064.762585,12044.199092,7.8116,242869.57857,211683.688176,0.539918
NET-000014,112,97776,15,21,7,3686.085886,3462.870353,6.0556,246555.664456,215146.558529,0.557478
NET-000015,120,104760,16,23,7,4530.367682,3833.075395,15.3915,251086.032138,218979.633924,0.464119
NET-000016,128,111744,36,39,7,12064.57262,10537.067421,12.6611,263150.604758,229516.701345,0.491423
NET-000017,136,118728,5,8,4,1044.797775,1044.797775,0.0,264195.402533,230561.49912,0.618034
NET-000018,144,125712,54,44,7,15857.024941,13803.581953,12.9497,280052.427474,244365.081073,0.488537
NET-000019,152,132696,88,48,7,26804.813273,23850.718022,11.0208,306857.240747,268215.799095,0.507826
