operation_id,source_chain,target_chain,amount,bridge_latency_ms,bridge_latency_beats,sync_interval_beats,coherence_at_execution,coherence_gate_passed,status,fee_phi_scaled
BRG-000000,ckBTC,ckETH,97.22724443,2636.1,3.0196,3,0.677947,True,completed,22.95223895
BRG-000001,ckBTC,ckETH,91.95694494,2587.94,2.9644,3,0.9577,True,completed,21.70809001
BRG-000002,ckETH,ckBTC,59.69062848,2621.75,3.0031,3,0.852009,True,completed,14.09104594
BRG-000003,ckETH,ckBTC,65.1864332,2648.72,3.034,3,0.676083,True,completed,15.38842945
BRG-000004,ckETH,ICP,26.52738258,2642.98,3.0275,3,0.628252,True,completed,6.26226555
BRG-000005,ckETH,ckBTC,81.50642946,2612.14,2.9921,3,0.544766,False,rejected,19.24105796
BRG-000006,ICP,ckBTC,61.15925388,2550.37,2.9214,3,0.79364,True,completed,14.43774137
BRG-000007,ckBTC,ckETH,96.34763864,2643.06,3.0276,3,0.837771,True,completed,22.74459219
BRG-000008,ckBTC,ckETH,91.71895148,2522.59,2.8896,3,0.535006,False,rejected,21.65190737
BRG-000009,ICP,ckBTC,12.56137822,2669.63,3.058,3,0.567667,False,rejected,2.96533915
BRG-000010,ICP,ckETH,90.93773112,2652.63,3.0385,3,0.763044,True,completed,21.46748626
BRG-000011,ICP,ckBTC,15.03489414,2568.06,2.9416,3,0.792156,True,completed,3.54925705
BRG-000012,ckETH,ICP,96.40891608,2626.03,3.0081,3,0.667455,True,completed,22.75905783
BRG-000013,ckETH,ICP,4.17892625,2603.69,2.9825,3,0.519101,False,rejected,0.98651067
BRG-000014,ckBTC,ICP,64.81772763,2603.72,2.9825,3,0.644078,True,completed,15.30138987
BRG-000015,ckBTC,ICP,50.59385858,2574.02,2.9485,3,0.736185,True,completed,11.94358987
BRG-000016,ckETH,ICP,47.57412892,2603.01,2.9817,3,0.517999,False,rejected,11.2307284
BRG-000017,ckETH,ICP,84.66292376,2709.24,3.1034,3,0.551129,False,rejected,19.98620518
BRG-000018,ckBTC,ICP,49.62047053,2568.62,2.9423,3,0.745376,True,completed,11.71380412
BRG-000019,ICP,ckETH,49.18541544,2579.54,2.9548,3,0.547582,False,rejected,11.61110155
BRG-000020,ICP,ckBTC,13.67578133,2577.77,2.9528,3,0.778464,True,completed,3.22841404
BRG-000021,ckBTC,ICP,71.42751665,2645.46,3.0303,3,0.978983,True,completed,16.86174939
BRG-000022,ckETH,ckBTC,37.73782183,2580.85,2.9563,3,0.896239,True,completed,8.90869127
BRG-000023,ICP,ckETH,43.58017358,2657.23,3.0438,3,0.989149,True,completed,10.28788344
BRG-000024,ckETH,ckBTC,48.73410131,2758.01,3.1592,3,0.89557,True,completed,11.50456073
BRG-000025,ckETH,ICP,7.08733799,2664.48,3.0521,3,0.746081,True,completed,1.67309355
BRG-000026,ckBTC,ICP,98.12618844,2641.65,3.0259,3,0.552663,False,rejected,23.16445084
BRG-000027,ICP,ckETH,80.07270599,2618.85,2.9998,3,0.780408,True,completed,18.90260176
BRG-000028,ckETH,ckBTC,16.12420737,2605.8,2.9849,3,0.902098,True,completed,3.80640902
BRG-000029,ICP,ckBTC,55.49117536,2559.77,2.9322,3,0.721916,True,completed,13.09968954
BRG-000030,ckBTC,ckETH,25.31926332,2619.0,3.0,3,0.653767,True,completed,5.97706728
