beat_number,ideal_ms,actual_ms,drift_ms,cumulative_drift_ms,trades_settled,settlement_value_icp,is_sync_beat,is_netting_beat,phi_4_derivation,schumann_hz
1,873,871.1255,-1.8745,1.8745,20,1720.8989,False,False,875.3642,7.83
2,873,874.8496,1.8496,3.724,5,1124.1176,False,False,875.3642,7.83
3,873,872.0926,-0.9074,4.6315,2,5106.5742,True,False,875.3642,7.83
4,873,873.2542,0.2542,4.8857,0,1307.2704,False,False,875.3642,7.83
5,873,869.7254,-3.2746,8.1602,17,3867.7926,False,False,875.3642,7.83
6,873,871.5181,-1.4819,9.6422,3,2680.051,True,False,875.3642,7.83
7,873,872.9358,-0.0642,9.7064,4,4243.5507,False,False,875.3642,7.83
8,873,872.4332,-0.5668,10.2731,0,5359.4753,False,True,875.3642,7.83
9,873,872.4721,-0.5279,10.8011,39,4563.1018,True,False,875.3642,7.83
10,873,872.0127,-0.9873,11.7883,1,865.1267,False,False,875.3642,7.83
11,873,875.7284,2.7284,14.5168,8,5581.7617,False,False,875.3642,7.83
12,873,873.1963,0.1963,14.7131,7,3358.5623,True,False,875.3642,7.83
13,873,873.2632,0.2632,14.9763,42,3981.6385,False,False,875.3642,7.83
14,873,870.4011,-2.5989,17.5752,42,602.8586,False,False,875.3642,7.83
15,873,873.0039,0.0039,17.579,17,2880.0033,True,False,875.3642,7.83
16,873,873.3237,0.3237,17.9027,5,5564.7067,False,True,875.3642,7.83
17,873,873.2898,0.2898,18.1925,13,5710.4614,False,False,875.3642,7.83
18,873,872.1205,-0.8795,19.072,28,4731.7075,True,False,875.3642,7.83
19,873,871.9056,-1.0944,20.1664,30,4698.7049,False,False,875.3642,7.83
20,873,873.0104,0.0104,20.1768,6,1364.0554,False,False,875.3642,7.83
21,873,870.9784,-2.0216,22.1984,24,2048.9764,True,False,875.3642,7.83
22,873,874.0817,1.0817,23.2801,30,1556.2898,False,False,875.3642,7.83
23,873,869.2756,-3.7244,27.0045,63,599.2904,False,False,875.3642,7.83
24,873,872.8378,-0.1622,27.1667,41,2396.2863,True,True,875.3642,7.83
25,873,871.5781,-1.4219,28.5886,1,3527.8523,False,False,875.3642,7.83
26,873,873.4342,0.4342,29.0228,13,421.0297,False,False,875.3642,7.83
27,873,874.8346,1.8346,30.8574,4,3230.5229,True,False,875.3642,7.83
28,873,873.2956,0.2956,31.153,50,2289.235,False,False,875.3642,7.83
29,873,875.6054,2.6054,33.7584,18,3933.4357,False,False,875.3642,7.83
30,873,871.2084,-1.7916,35.55,11,6062.8213,True,False,875.3642,7.83
31,873,874.5867,1.5867,37.1367,8,1387.8232,False,False,875.3642,7.83
32,873,873.9627,0.9627,38.0994,9,6036.2955,False,True,875.3642,7.83
33,873,874.0828,1.0828,39.1822,2,1542.8676,True,False,875.3642,7.83
34,873,873.6394,0.6394,39.8217,6,1133.1501,False,False,875.3642,7.83
35,873,875.7794,2.7794,42.601,9,541.7613,False,False,875.3642,7.83
36,873,874.7106,1.7106,44.3117,13,5794.1795,True,False,875.3642,7.83
37,873,877.145,4.145,48.4567,29,5447.8844,False,False,875.3642,7.83
38,873,870.9707,-2.0293,50.486,8,3444.8223,False,False,875.3642,7.83
39,873,873.3176,0.3176,50.8036,49,863.1362,True,False,875.3642,7.83
