beat,timestamp_ms,R_order_parameter,mean_phase_psi,phase_variance,gate_passed,oscillator_count,coupling_strength,drift_from_phi_inv
0,0,0.12821191,0.4089292,0.87178809,False,24,0.6180339887498948,0.48982208
1,873,0.16552718,-0.61351324,0.83447282,False,24,0.6180339887498948,0.4525068
2,1746,0.21357357,-1.63433016,0.78642643,False,24,0.6180339887498948,0.40446042
3,2619,0.27506829,-2.65275894,0.72493171,False,24,0.6180339887498948,0.3429657
4,3492,0.35285565,2.61538784,0.64714435,False,24,0.6180339887498948,0.26517833
5,4365,0.44913159,1.60484513,0.55086841,False,24,0.6180339887498948,0.1689024
6,5238,0.56376836,0.59943199,0.43623164,False,24,0.6180339887498948,0.05426563
7,6111,0.69143594,-0.4021735,0.30856406,True,24,0.6180339887498948,0.07340195
8,6984,0.81783928,-1.40542845,0.18216072,True,24,0.6180339887498948,0.19980529
9,7857,0.91856674,-2.41869749,0.08143326,True,24,0.6180339887498948,0.30053275
10,8730,0.97411675,2.83898964,0.02588325,True,24,0.6180339887498948,0.35608276
11,9603,0.99365149,1.80748574,0.00634851,True,24,0.6180339887498948,0.3756175
12,10476,0.99860252,0.774659,0.00139748,True,24,0.6180339887498948,0.38056853
13,11349,0.99970122,-0.25833947,0.00029878,True,24,0.6180339887498948,0.38166723
14,12222,0.99993654,-1.29135598,6.346e-05,True,24,0.6180339887498948,0.38190255
15,13095,0.99998654,-2.32437429,1.346e-05,True,24,0.6180339887498948,0.38195255
16,13968,0.99999715,2.92579254,2.85e-06,True,24,0.6180339887498948,0.38196316
17,14841,0.99999939,1.89277405,6.1e-07,True,24,0.6180339887498948,0.38196541
18,15714,0.99999987,0.85975555,1.3e-07,True,24,0.6180339887498948,0.38196588
19,16587,0.99999997,-0.17326294,3e-08,True,24,0.6180339887498948,0.38196598
20,17460,0.99999999,-1.20628144,1e-08,True,24,0.6180339887498948,0.38196601
21,18333,1.0,-2.23929994,0.0,True,24,0.6180339887498948,0.38196601
