epoch,engine_id,engine_name,engine_index,entanglement_strength,entanglement_alive,throughput_ops_per_beat,latency_ms,success_rate,coherence_contribution,hebbian_reward_eligible,phi_alignment
1,engine-cognitio-000,COGNITIO,0,0.649426,True,3,203.22,0.991613,0.64398,True,0.031392
1,engine-intelligentia-001,INTELLIGENTIA,1,0.579006,True,5,449.94,0.780047,0.451652,True,0.039028
1,engine-quantumia-002,QUANTUMIA,2,0.672549,True,8,19.3,0.753555,0.506803,True,0.054515
1,engine-resonantia-003,RESONANTIA,3,0.492162,True,2,497.21,0.954113,0.469578,True,0.125872
1,engine-harmonia-004,HARMONIA,4,0.552517,True,6,510.27,0.898225,0.496284,True,0.065517
1,engine-velocitas-005,VELOCITAS,5,0.648851,True,16,491.81,0.700593,0.45458,True,0.030817
1,engine-prudentia-006,PRUDENTIA,6,0.766349,True,2,501.09,0.850433,0.651728,True,0.148315
1,engine-fortitudo-007,FORTITUDO,7,0.470275,True,35,398.82,0.742971,0.349401,True,0.147759
1,engine-temperantia-008,TEMPERANTIA,8,0.576931,True,52,633.77,0.714353,0.412132,True,0.041103
1,engine-iustitia-009,IUSTITIA,9,0.818447,True,180,531.86,0.926891,0.758612,True,0.200414
1,engine-sapientia-010,SAPIENTIA,10,0.549628,True,235,375.71,0.855108,0.469991,True,0.068406
1,engine-memoria-011,MEMORIA,11,0.654287,True,53,174.44,0.926862,0.606433,True,0.036253
1,engine-imaginatio-012,IMAGINATIO,12,0.481849,True,821,282.24,0.709524,0.341883,True,0.136185
1,engine-veritas-013,VERITAS,13,0.710546,True,265,660.72,0.934986,0.664351,True,0.092512
1,engine-libertas-014,LIBERTAS,14,0.542737,True,350,588.99,0.719308,0.390395,True,0.075297
1,engine-dignitas-015,DIGNITAS,15,0.46817,True,417,415.22,0.903884,0.423171,True,0.149864
1,engine-concordia-016,CONCORDIA,16,0.737144,True,298,283.69,0.914704,0.674269,True,0.11911
1,engine-aeternitas-017,AETERNITAS,17,0.527841,True,925,230.97,0.722865,0.381558,True,0.090193
1,engine-providentia-018,PROVIDENTIA,18,0.568278,True,93,14.44,0.910149,0.517218,True,0.049756
1,engine-scientia-019,SCIENTIA,19,0.617075,True,447,228.95,0.98994,0.610867,True,0.000959
1,engine-mathematica-020,MATHEMATICA,20,0.736251,True,244,415.18,0.989828,0.728762,True,0.118217
1,engine-cryptographia-021,CRYPTOGRAPHIA,21,0.594182,True,483,318.59,0.964018,0.572802,True,0.023852
1,engine-logica-022,LOGICA,22,0.585007,True,50,378.99,0.955643,0.559057,True,0.033027
1,engine-natura-023,NATURA,23,0.538856,True,280,621.84,0.966449,0.520777,True,0.079178
2,engine-cognitio-000,COGNITIO,0,0.51449,True,3,644.94,0.90297,0.464569,True,0.103544
2,engine-intelligentia-001,INTELLIGENTIA,1,0.549823,True,4,459.61,0.721954,0.396947,True,0.068211
2,engine-quantumia-002,QUANTUMIA,2,0.494267,True,1,57.18,0.746084,0.368765,True,0.123767
2,engine-resonantia-003,RESONANTIA,3,0.549661,True,6,598.3,0.927887,0.510023,True,0.068373
2,engine-harmonia-004,HARMONIA,4,0.510232,True,5,618.11,0.959393,0.489513,True,0.107802
2,engine-velocitas-005,VELOCITAS,5,0.741368,True,5,569.37,0.746959,0.553772,True,0.123334
2,engine-prudentia-006,PRUDENTIA,6,0.581693,True,17,537.21,0.951161,0.553284,True,0.036341
2,engine-fortitudo-007,FORTITUDO,7,0.466637,True,67,105.84,0.972874,0.453979,True,0.151397
2,engine-temperantia-008,TEMPERANTIA,8,0.385553,True,31,598.39,0.722782,0.278671,True,0.232481
2,engine-iustitia-009,IUSTITIA,9,0.695745,True,145,292.82,0.955033,0.66446,True,0.077711
2,engine-sapientia-010,SAPIENTIA,10,0.631411,True,368,114.22,0.740218,0.467382,True,0.013377
2,engine-memoria-011,MEMORIA,11,0.562013,True,409,115.33,0.880515,0.494861,True,0.056021
2,engine-imaginatio-012,IMAGINATIO,12,0.772719,True,488,556.33,0.714029,0.551744,True,0.154685
2,engine-veritas-013,VERITAS,13,0.516643,True,49,394.46,0.99702,0.515103,True,0.101391
2,engine-libertas-014,LIBERTAS,14,0.810924,True,316,672.29,0.897729,0.72799,True,0.19289
2,engine-dignitas-015,DIGNITAS,15,0.828618,True,399,176.19,0.887185,0.735138,True,0.210584
2,engine-concordia-016,CONCORDIA,16,0.581178,True,170,601.58,0.75646,0.439638,True,0.036856
2,engine-aeternitas-017,AETERNITAS,17,0.577444,True,198,206.76,0.727075,0.419845,True,0.04059
2,engine-providentia-018,PROVIDENTIA,18,0.641481,True,198,584.05,0.84898,0.544604,True,0.023447
2,engine-scientia-019,SCIENTIA,19,0.773129,True,870,174.92,0.879882,0.680262,True,0.155095
2,engine-mathematica-020,MATHEMATICA,20,0.585465,True,983,228.13,0.840804,0.492261,True,0.032569
2,engine-cryptographia-021,CRYPTOGRAPHIA,21,0.590146,True,575,334.62,0.73765,0.435321,True,0.027888
2,engine-logica-022,LOGICA,22,0.636234,True,964,371.63,0.843849,0.536885,True,0.0182
2,engine-natura-023,NATURA,23,0.545838,True,800,453.28,0.87765,0.479055,True,0.072196
3,engine-cognitio-000,COGNITIO,0,0.715162,True,2,128.6,0.874038,0.625079,True,0.097128
3,engine-intelligentia-001,INTELLIGENTIA,1,0.587354,True,5,392.68,0.998745,0.586617,True,0.03068
3,engine-quantumia-002,QUANTUMIA,2,0.98219,True,1,634.45,0.708454,0.695836,True,0.364156
3,engine-resonantia-003,RESONANTIA,3,0.580256,True,7,64.2,0.73506,0.426523,True,0.037778
3,engine-harmonia-004,HARMONIA,4,0.557426,True,21,155.29,0.809292,0.45112,True,0.060608
3,engine-velocitas-005,VELOCITAS,5,0.467876,True,16,35.2,0.916899,0.428995,True,0.150158
3,engine-prudentia-006,PRUDENTIA,6,0.677259,True,20,544.82,0.7018,0.4753,True,0.059225
3,engine-fortitudo-007,FORTITUDO,7,0.524661,True,81,137.93,0.730714,0.383377,True,0.093373
3,engine-temperantia-008,TEMPERANTIA,8,0.655857,True,40,593.6,0.92364,0.605775,True,0.037823
3,engine-iustitia-009,IUSTITIA,9,0.595639,True,93,166.13,0.808549,0.481603,True,0.022395
3,engine-sapientia-010,SAPIENTIA,10,0.601516,True,346,678.18,0.841161,0.505972,True,0.016518
3,engine-memoria-011,MEMORIA,11,0.699356,True,278,56.05,0.818499,0.572422,True,0.081322
3,engine-imaginatio-012,IMAGINATIO,12,0.520431,True,774,266.69,0.705886,0.367365,True,0.097603
3,engine-veritas-013,VERITAS,13,0.529899,True,310,312.37,0.792896,0.420155,True,0.088135
3,engine-libertas-014,LIBERTAS,14,0.644576,True,819,513.99,0.964356,0.621601,True,0.026542
3,engine-dignitas-015,DIGNITAS,15,0.670971,True,850,300.83,0.982703,0.659365,True,0.052937
3,engine-concordia-016,CONCORDIA,16,0.551551,True,785,444.64,0.990617,0.546376,True,0.066483
3,engine-aeternitas-017,AETERNITAS,17,0.579865,True,572,20.37,0.829854,0.481203,True,0.038169
3,engine-providentia-018,PROVIDENTIA,18,0.756076,True,529,331.06,0.961477,0.726949,True,0.138042
3,engine-scientia-019,SCIENTIA,19,0.609005,True,786,640.0,0.784386,0.477695,True,0.009029
3,engine-mathematica-020,MATHEMATICA,20,0.427021,True,257,233.87,0.752855,0.321485,True,0.191013
3,engine-cryptographia-021,CRYPTOGRAPHIA,21,0.745692,True,122,109.61,0.807184,0.601911,True,0.127658
3,engine-logica-022,LOGICA,22,0.467081,True,417,461.46,0.755634,0.352943,True,0.150953
3,engine-natura-023,NATURA,23,0.609389,True,599,498.97,0.98999,0.603289,True,0.008645
4,engine-cognitio-000,COGNITIO,0,0.685353,True,3,364.84,0.807208,0.553223,True,0.067319
4,engine-intelligentia-001,INTELLIGENTIA,1,0.679519,True,2,529.46,0.922455,0.626826,True,0.061485
