experiment_id,oscillator_count_N,coupling_topology,frequency_distribution,coupling_strength_K,critical_coupling_Kc,K_over_Kc_ratio,order_parameter_R,susceptibility_chi,relaxation_time_tau,phase_locked_fraction,mean_field_frequency,chimera_state_detected,lyapunov_exponent_max,simulation_timesteps,integration_method,thermalization_steps
OSC-000000,64,small_world,gaussian,1.497172,1.395902,1.072548,0.25846971,1.01999239,9.015002,0.214036,7.837916,False,-0.11657395,50000,verlet,5000
OSC-000001,96,ring,uniform,1.634752,0.06545,24.977177,0.97713302,1.29664985,0.479308,0.951645,7.767715,False,-0.11915874,100000,symplectic_4th,5000
OSC-000002,128,small_world,lorentzian,2.48616,1.849677,1.344105,0.5079482,2.44467188,1.617465,0.527938,7.927342,False,-0.13736698,50000,verlet,10000
OSC-000003,16,lattice_2d,uniform,3.19497,1.954818,1.634408,0.61691902,0.24070328,0.678439,0.621081,7.761333,False,-0.0848685,500000,euler,5000
OSC-000004,96,ring,lorentzian,0.756018,0.06545,11.551107,0.9560965,0.54173304,1.427105,0.95131,7.841015,False,-0.09640009,50000,euler,5000
OSC-000005,24,ring,gaussian,3.706007,0.261799,14.155904,0.97453307,0.01494974,0.299256,0.985789,7.943436,False,-0.08227171,10000,euler,10000
OSC-000006,64,scale_free,bimodal,4.59772,1.610857,2.854207,0.8065273,0.51627354,0.305896,0.787773,7.968923,False,-0.10558273,100000,verlet,10000
OSC-000007,24,scale_free,bimodal,4.193798,1.210606,3.464214,0.84785654,0.00806122,0.323936,0.898175,7.76366,False,-0.12423387,500000,symplectic_4th,10000
OSC-000008,8,random_erdos_renyi,gaussian,2.255504,1.981634,1.138204,0.34952372,0.17541815,3.511767,0.377522,7.90463,False,-0.0773218,10000,euler,5000
OSC-000009,64,lattice_2d,uniform,1.132449,1.159821,0.9764,0.01653545,1.28117535,84.560731,0.031238,7.834175,True,0.03938574,10000,euler,1000
OSC-000010,24,small_world,gaussian,2.631539,1.420774,1.852187,0.66937756,0.59447228,0.685931,0.591261,7.804399,False,-0.13676187,10000,euler,5000
OSC-000011,128,scale_free,gaussian,0.799289,1.559029,0.512684,0.08923069,0.61816552,106.299887,0.04648,7.746398,False,0.06503724,500000,rk4,1000
OSC-000012,96,scale_free,gaussian,0.631994,1.896729,0.333202,0.0596499,2.77762827,75.973646,0.058221,7.856551,False,0.05726676,500000,rk4,10000
OSC-000013,16,all_to_all,bimodal,3.331024,0.63662,5.23236,0.90445973,0.04493452,0.605402,0.905348,7.783881,False,-0.1191499,500000,verlet,1000
OSC-000014,96,ring,bimodal,3.968822,0.06545,60.639139,0.98972137,1.82913539,0.246383,0.905183,7.815097,False,-0.10856609,50000,verlet,5000
OSC-000015,32,all_to_all,lorentzian,3.031633,0.63662,4.762077,0.88619601,0.2529547,0.580697,0.889031,7.951474,False,-0.09891332,10000,symplectic_4th,10000
OSC-000016,32,lattice_2d,lorentzian,2.187751,1.380299,1.584983,0.60842794,0.10592537,1.18354,0.545596,7.800993,False,-0.14729392,500000,euler,5000
OSC-000017,128,ring,lorentzian,2.83956,0.049087,57.847037,0.98777662,2.52562238,0.387526,0.911583,7.74913,False,-0.10874436,10000,euler,5000
OSC-000018,24,all_to_all,gaussian,2.590883,0.63662,4.06975,0.86982479,0.33691103,0.334043,0.812544,7.730241,False,-0.08119649,10000,rk4,1000
OSC-000019,128,random_erdos_renyi,bimodal,0.531889,1.595684,0.33333,0.00699143,2.50804458,96.167904,0,7.921738,False,0.04146255,100000,rk4,1000
