measurement_id,operation_type,batch_size,energy_joules,energy_kwh,carbon_grams_co2,carbon_intensity_gco2_kwh,power_usage_effectiveness,traditional_system_multiplier,transactions_per_kwh,efficiency_score_phi_normalized,data_center_region,renewable_fraction,cooling_method,measurement_timestamp_utc
ENERGY-000000,token_mint,50,0.02377624,6.605e-09,3.9627e-06,600,1.3194,788.29,151411678.34,0.02599377,us-east,0.8769,liquid,2026-01-31T22:00:00Z
ENERGY-000001,canister_query,100,0.00450736,1.252e-09,6.26e-08,50,1.0485,939.49,798694158.42,0.1371167,eu-west,0.7494,immersion,2026-04-26T00:00:00Z
ENERGY-000002,model_inference,1,0.04519986,1.2556e-08,7.5333e-06,600,1.249,869.57,79646266.97,0.01367336,eu-west,0.7465,liquid,2026-06-16T10:00:00Z
ENERGY-000003,settlement_batch,100,0.31280731,8.6891e-08,4.3445e-06,50,1.1978,1025.62,11508682.34,0.00197577,us-east,0.8415,free_cooling,2026-03-14T02:00:00Z
ENERGY-000004,canister_update,50,0.01652592,4.591e-09,4.591e-07,100,1.3543,1143.03,217839552.1,0.03739785,nordic,0.6906,immersion,2026-06-26T14:00:00Z
ENERGY-000005,netting_cycle,1,0.0017069,4.74e-10,1.422e-07,300,1.2354,1055.72,2109086421.99,0.36207975,us-east,0.7068,immersion,2026-06-03T04:00:00Z
ENERGY-000006,bridge_transfer,5,0.00480786,1.336e-09,4.007e-07,300,1.2037,1244.07,748774541.2,0.1285467,nordic,0.474,air,2026-05-25T22:00:00Z
ENERGY-000007,consensus_round,5,0.0547218,1.52e-08,6.8402e-06,450,1.1813,976.47,65787312.41,0.01129411,us-east,0.6354,free_cooling,2026-05-31T13:00:00Z
ENERGY-000008,provenance_verify,500,0.10161789,2.8227e-08,8.4682e-06,300,1.4169,1030.25,35426833.61,0.00608194,eu-west,0.3626,immersion,2026-06-12T17:00:00Z
ENERGY-000009,coherence_check,500,0.04908534,1.3635e-08,6.1357e-06,450,1.2104,1144.61,73341648.13,0.01259101,nordic,0.4344,air,2026-02-03T16:00:00Z
ENERGY-000010,provenance_verify,100,0.02007831,5.577e-09,1.6732e-06,300,1.0259,646.94,179297991.95,0.03078118,nordic,0.8743,immersion,2026-04-20T20:00:00Z
ENERGY-000011,token_mint,10,0.0047788,1.327e-09,7.965e-07,600,1.3116,358.64,753326483.07,0.12932816,japan,0.7554,air,2026-06-02T15:00:00Z
ENERGY-000012,bridge_transfer,10,0.01026143,2.85e-09,5.701e-07,200,1.1852,998.7,350828237.49,0.06022883,nordic,0.7642,air,2026-05-07T06:00:00Z
ENERGY-000013,consensus_round,50,0.61402174,1.70562e-07,5.11685e-05,300,1.1224,1047.79,5862984.6,0.00100653,japan,0.7993,liquid,2026-01-17T13:00:00Z
ENERGY-000014,canister_query,500,0.02269587,6.304e-09,1.2609e-06,200,1.0917,1145.67,158619135.54,0.02723112,us-east,0.8376,air,2026-01-09T04:00:00Z
ENERGY-000015,canister_query,5,0.00022995,6.4e-11,1.28e-08,200,1.1695,1053.11,15655352838.15,1.0,eu-west,0.7677,immersion,2026-01-18T19:00:00Z
ENERGY-000016,token_mint,500,0.21776833,6.0491e-08,1.20982e-05,200,1.2166,1034.63,16531329.62,0.00283803,singapore,0.4136,immersion,2026-04-16T14:00:00Z
ENERGY-000017,coherence_check,10,0.00092211,2.56e-10,1.28e-08,50,1.1975,1032.67,3904094198.75,0.6702397,nordic,0.8213,air,2026-01-08T16:00:00Z
ENERGY-000018,bridge_transfer,500,0.41711637,1.15866e-07,2.31731e-05,200,1.1295,1203.61,8630685.08,0.00148168,us-east,0.6884,immersion,2026-05-31T10:00:00Z
ENERGY-000019,consensus_round,5,0.04655168,1.2931e-08,2.5862e-06,200,1.2452,864.6,77333404.08,0.0132763,japan,0.9217,liquid,2026-04-07T06:00:00Z
ENERGY-000020,token_mint,50,0.02679563,7.443e-09,3.722e-07,50,1.2567,1162.02,134350275.76,0.02306473,eu-west,0.6135,free_cooling,2026-04-24T02:00:00Z
ENERGY-000021,canister_query,1,5.163e-05,1.4e-11,6.5e-09,450,1.2961,1226.19,69725195358.08,1.0,eu-west,0.5507,free_cooling,2026-05-01T10:00:00Z
ENERGY-000022,netting_cycle,500,0.98077586,2.72438e-07,0.0001634626,600,1.2956,941.17,3670563.41,0.00063015,japan,0.8794,air,2026-04-16T05:00:00Z
ENERGY-000023,model_inference,1,0.05434878,1.5097e-08,3.0194e-06,200,1.1605,1200.04,66238835.64,0.01137163,eu-west,0.792,free_cooling,2026-03-29T15:00:00Z
ENERGY-000024,canister_query,500,0.02317281,6.437e-09,1.9311e-06,300,1.3651,1065.63,155354454.98,0.02667065,singapore,0.7429,liquid,2026-02-04T15:00:00Z
ENERGY-000025,canister_update,500,0.11878795,3.2997e-08,3.2997e-06,100,1.1425,1019.61,30306104.84,0.00520283,us-east,0.8811,air,2026-06-06T12:00:00Z
ENERGY-000026,token_mint,50,0.02721585,7.56e-09,2.268e-06,300,1.2968,1067.51,132275867.69,0.02270861,nordic,0.7873,immersion,2026-05-10T14:00:00Z
ENERGY-000027,provenance_verify,50,0.01069979,2.972e-09,5.944e-07,200,1.3821,676.92,336455306.32,0.05776134,japan,0.9341,liquid,2026-03-27T18:00:00Z
ENERGY-000028,bridge_transfer,1,0.00111666,3.1e-10,3.1e-08,100,1.0281,910.12,3223912523.87,0.55346875,eu-west,0.6561,liquid,2026-06-01T12:00:00Z
ENERGY-000029,netting_cycle,10,0.01981649,5.505e-09,3.3027e-06,600,1.1262,933.75,181666896.46,0.03118787,singapore,0.6271,liquid,2026-06-06T04:00:00Z
ENERGY-000030,consensus_round,100,1.16562267,3.23784e-07,6.47568e-05,200,1.4157,1217.04,3088478.02,0.00053022,japan,0.7695,immersion,2026-01-07T19:00:00Z
ENERGY-000031,canister_update,100,0.02882506,8.007e-09,4.8042e-06,600,1.2848,933.41,124891348.37,0.02144086,japan,0.6439,immersion,2026-05-19T07:00:00Z
ENERGY-000032,model_inference,100,5.46857694,1.519049e-06,0.0006835721,450,1.1904,1274.56,658306.55,0.00011302,singapore,0.8197,air,2026-06-12T16:00:00Z
ENERGY-000033,model_inference,50,2.0517328,5.69926e-07,0.0001709777,300,1.0707,849.41,1754614.44,0.00030123,singapore,0.6453,free_cooling,2026-03-28T22:00:00Z
ENERGY-000034,provenance_verify,50,0.01097911,3.05e-09,1.525e-07,50,1.1652,900.58,327895291.69,0.05629179,us-east,0.6857,immersion,2026-02-08T01:00:00Z
ENERGY-000035,provenance_verify,1,0.00021442,6e-11,2.68e-08,450,1.2295,798.59,16789703322.43,1.0,japan,0.8862,free_cooling,2026-04-15T15:00:00Z
ENERGY-000036,settlement_batch,50,0.15557185,4.3214e-08,2.59286e-05,600,1.3593,800.48,23140433.45,0.00397266,japan,0.709,air,2026-02-11T03:00:00Z
ENERGY-000037,provenance_verify,5,0.00094868,2.64e-10,5.27e-08,200,1.3636,1197.16,3794753474.38,0.65146851,us-east,0.9092,immersion,2026-03-13T21:00:00Z
ENERGY-000038,canister_query,50,0.00219786,6.11e-10,3.05e-08,50,1.1081,1104.19,1637958158.88,0.28119828,singapore,0.7993,immersion,2026-02-09T20:00:00Z
ENERGY-000039,canister_update,500,0.14728553,4.0913e-08,8.1825e-06,200,1.1117,1121.12,24442319.0,0.00419616,us-east,0.7132,free_cooling,2026-06-15T12:00:00Z
ENERGY-000040,canister_update,500,0.14604603,4.0568e-08,1.21705e-05,300,1.0866,1152.38,24649762.69,0.00423178,eu-west,0.9901,immersion,2026-01-12T14:00:00Z
ENERGY-000041,consensus_round,50,0.50808374,1.41134e-07,4.23403e-05,300,1.1885,1063.48,7085446.24,0.0012164,nordic,0.9483,air,2026-01-30T04:00:00Z
ENERGY-000042,consensus_round,10,0.10748113,2.9856e-08,5.9712e-06,200,1.3837,964.29,33494250.63,0.00575016,japan,0.3493,immersion,2026-06-06T10:00:00Z
ENERGY-000043,consensus_round,5,0.05210089,1.4472e-08,2.8945e-06,200,1.2903,783.34,69096713.03,0.01186225,singapore,0.7194,immersion,2026-04-02T04:00:00Z
ENERGY-000044,coherence_check,10,0.0008989,2.5e-10,1.498e-07,600,1.1449,1254.22,4004882107.28,0.68754257,singapore,0.9063,liquid,2026-03-24T14:00:00Z
ENERGY-000045,consensus_round,500,4.50532169,1.251478e-06,0.0002502956,200,1.1986,1015.82,799055.04,0.00013718,nordic,0.3203,air,2026-04-27T13:00:00Z
ENERGY-000046,model_inference,1,0.0488393,1.3566e-08,8.1399e-06,600,1.0796,891.17,73711129.43,0.01265444,us-east,0.4843,free_cooling,2026-05-13T19:00:00Z
ENERGY-000047,provenance_verify,10,0.0020457,5.68e-10,3.409e-07,600,1.194,745.31,1759792970.81,0.30211441,eu-west,0.5668,immersion,2026-02-23T18:00:00Z
ENERGY-000048,token_mint,50,0.0275407,7.65e-09,2.2951e-06,300,1.2466,1029.38,130715626.45,0.02244075,us-east,0.4741,free_cooling,2026-05-29T12:00:00Z
ENERGY-000049,bridge_transfer,10,0.00884358,2.457e-09,1.1054e-06,450,1.3915,1202.87,407075014.3,0.06988505,japan,0.7478,immersion,2026-03-09T02:00:00Z
