network_id,network_type,node_count,edge_count,average_degree,max_degree,density,clustering_coefficient,average_path_length,diameter,betweenness_centrality_max,eigenvector_centrality_max,pagerank_max,modularity_Q,community_count,percolation_threshold_pc,largest_component_fraction,contagion_probability,debtrank_systemic_risk,algebraic_connectivity,spectral_gap,is_scale_free,power_law_exponent_gamma,phi_modularity_ratio
NET-000000,market_maker_graph,200,596,5.9667,25,0.02983348,0.12584689,2.729486,6,0.29117874,0.23665935,0.01142405,0.529609,9,0.365249,0.828273,0.18374288,0.19149137,0.63125188,1.648465,True,2.8984,0.856926
NET-000001,governance_voting,1000,2865,5.7305,28,0.00573052,0.2269432,3.622976,11,0.42320756,0.31881819,0.00157691,0.21452,16,0.186802,0.67717,0.31738318,0.23251461,0.77567825,2.333788,True,2.354,0.3471
NET-000002,oracle_network,50,138,5.552,28,0.1110392,0.44134124,2.081124,3,0.12606237,0.37650143,0.129696,0.802072,3,0.315486,0.814347,0.16279108,0.36303159,0.42383014,2.698534,False,2.8673,1.29778
NET-000003,validator_consensus,500,732,2.9312,14,0.00586234,0.43248502,4.539731,11,0.15102212,0.14943488,0.01962941,0.550859,6,0.163871,0.82053,0.20629218,0.13232154,0.50303224,0.433531,False,2.7644,0.891309
NET-000004,market_maker_graph,500,1188,4.7534,20,0.00950676,0.28260414,3.551636,11,0.34873396,0.46563617,0.00551643,0.735469,13,0.313234,0.887737,0.02861764,0.1975569,0.61425871,1.674001,True,2.5159,1.190014
NET-000005,validator_consensus,200,531,5.3145,36,0.02657233,0.38200098,2.875077,6,0.30165252,0.56986811,0.034833,0.966494,8,0.468834,0.86573,0.04126685,0.1870909,0.71209055,0.996797,True,2.5203,1.563821
NET-000006,bridge_relay,200,458,4.5862,26,0.02293106,0.38747052,3.079877,6,0.26334547,0.5963984,0.01731943,0.769572,8,0.32034,0.779538,0.05769155,0.18258392,0.35130405,1.014684,True,3.2319,1.245194
NET-000007,bridge_relay,500,500,2,7,0.004,0.27863054,5.65678,16,0.19446375,0.41756841,0.01058264,0.502583,12,0.308452,0.742738,0.09414462,0.26313104,0.41033157,0.415409,True,2.3832,0.813196
NET-000008,token_transfer,200,780,7.8047,45,0.03902362,0.23995163,2.435685,8,0.08089877,0.70273367,0.00729393,0.736249,6,0.208596,0.77635,0.31989554,0.28681678,0.57656676,2.415489,False,2.7724,1.191275
NET-000009,bridge_relay,50,144,5.7976,20,0.11595215,0.57887237,2.041158,3,0.14013961,0.35671518,0.15399575,0.813438,4,0.219105,0.918739,0.11066656,0.24217607,0.58307144,1.439185,True,2.1786,1.31617
